Text (data to line-2-head), E i ________
[cooking]じゃがいも蒸す　ペースト。皿へ。cooking12602(aimai)b1 皿へ。, E i 12602 (aimai)
[cooking]ソース　ナス・トマト・ピーマン赤・オイルオリーブ、熱火、水、煮る。ペーストなよう。cooking12602(aimai)b1, E i 12602 (aimai)
床+ピーマン煮た液, E i 12602 (aimai)
床+トマトジュース, E i 12602 (aimai)
[cooking]パプリカ　蒸す|煮る　ペースト、じゃがいも蒸す|煮る　ペースト。皿へ。, E i 12602 (aimai)
[cooking]大根　蒸す|煮る　ペースト、じゃがいも蒸す|煮る　ペースト。皿へ。, E i 12602 (aimai)
[cooking]じゃがいも　蒸す|煮る、ペースト、ほうれん草水煮　ペースト。皿へ。, E i 12602 (aimai)
[cooking]じゃがいも　蒸す|煮る、ペースト、ナス　蒸す　煮る、ペースト、トマト　煮る　ペースト。皿へ。, E i 12602 (aimai)
[cooking]ほうれん草水煮+じゃがいも+オイルオリーブ, E i 12602 (aimai)
寝期とベッドとスプレー（水）, E i 12602 (aimai)
[cooking]フライパン　じゃがいも+灰草木, E i 12602 (aimai)
[cooking]白菜+灰草木, E i 12602 (aimai)
[cooking]大根+灰草木, E i 12602 (aimai)
[cooking]白菜+油実+熱火+ふた+唐辛子+（アルカリン水+スターチポテト）, E i 12602 (aimai)
[cooking]ソース　実油+ペーストトマト+熱火+アルカリン水（温泉）, E i 12602 (aimai)
[cooking]ソース　実油+アルカリン水（温泉）, E i 12602 (aimai)
[cooking]鍋　大根+水+灰草木, E i 12602 (aimai)
[cooking]鍋　じゃがいも+水+灰草木, E i 12602 (aimai)
灰ナス葉, E i 12602 (aimai)
[cooking]ポテト+灰草木, E i 12602 (aimai)
