Text (font_utf8 to line-2-head), E i ________
[cooking]ナス　大根　じゃがいも　オイルオリーブ、熱火。, E i 12603 (aimai)
[cooking]ナスと大根とトマト　水、スープ。, E i 12603 (aimai)
[cooking]ナスと大根　水、スープ。, E i 12603 (aimai)
[cooking]ナス蒸す、スターチポテト、オイルオリーブ　熱火　b1。b1 皿へ。ナス・パプリカ・トマト　オリーブオイル　熱火、ペースト、b1へぬる。, E i 12603 (aimai)
[cooking]ナス蒸す、スターチポテト、オイルオリーブ　熱火。皿へ。低浸透圧野菜スープ　皿へ。
[cooking]じゃがいも　オイルオリーブ　熱火、皿へ　b1。ナス　蒸す　ペースト、皿b1へ。, E i 12603 (aimai)
[cooking]じゃがいも蒸す　ペースト　皿へ　b1。ほうれん草　小工　湯熱、皿b1へ。, E i 12603 (aimai)
[cooking]オイルオリーブ　じゃー芋（じゃがいも・ポテト）、熱火。オイルオリーブ　パプリカ黄、熱火。, E i 12603 (aimai)
