Foods, (hinn),  mOsmol / kg
Milk-human, (hitonyuu), 311.5
Milk-cow, (gyuunyuu), 290.2
Milk-goat, (yaginyuu), 339
Juice-apple, (jyūsu-ringo), 700 ~ 705
Tea, (koucha), 5
Apple, (ringo), 464.4
Tomato, (tomato), 120
Poteto, (poteto), 290.5
Eggplant, (nasu), 155.2
Pumpkin, (kabocha), 407.2
Ipomoea-batatas, (satsumaimo), 407.2
Spinach, (hourennsou), 258.4
Cabbage, (kyabetsu), 347.7
Radish, (daikon), 271.2
