seed, indo-europian britainland, (hinn), items market, medium
Dioscorea L., yam, (yamuimo), , 
Araceae, taro, (satoimo), ,
Manihot esculenta, cassava, (kyassaba), starch tapioka, cyanide 🤮
Apios americana, groundnut, (amerikahodoimo), ,
