hin, pure, grams
ぷちっ娘レッド, F1, 20
プリティーベル, ,
シュガリーテール, F1,10 ~ 15
テーブルトマト　レッド, ,
テーブルトマト　イエロー, ,
トマト大王, ,
マンマミーア, F1, 10 ~ 15
ドワーフ, 
レジナ, ,
ちびっこ, ,
ピトント, ,
ピンクレッド, ,
