hin, pure, grams
ジャンボピーマン デカチャンプ, F1, 
王様ピーマン, F1, 100
ジャンボピーマン　とんがりパワー, F1,
ジャンボピーマン　GG,,
改良巨大ピーマン　カリフォルニアワンダー,,
