hin, pure, length(cm), grams
巨大太丸, F1, 25 ~ 28, 600
大和三尺きゅうり, , 35, 
八町きゅうり, , 90,  
半白節成, F1, 23,
金沢太きゅうり, , ,
白馬しろうま, , ,
信州青皮漬瓜, , ,1000 ~ 1500
ジャンボ胡瓜, , 25 ~ 28, 600
馬込半白胡瓜, , 16 ~ 18, 
わんぱく坊主, , 12, 100
