名・url・データ, 価・これこれ, E i _______ (aimai)
赤大根, 根100%ルビジウム色な大根, E i 12607 (aimai)
素揚げ低浸透圧野菜（オイルオリーブ）, 素揚げ低浸透圧野菜（オイルオリーブ）, E i 12607 (aimai)
