Fruits, (frūtsu), mg / 100 grams
Cayyene, (tougarashi), 2200
Citrus-mandarine, (unnsyuumikann), 1700 ~ 2000
Citrus-setoka, (setoka), 1400
Citrus-seminole, (seminōru), 1300
Citrus-harumi, (harumi), 1100
Citrus-ponkan, (ponkan), 1000
Papaya, (papaia|papaiya), 820
Citrus-kiyomi, (kiyomi), 690
Citrus-shiranuhi, (shiranuhi), 630
Loquat, (biwa), 600
Paprika-”tomapi”, (tomapī), 500
Persimmon, (kaki), 500
Citrus-yuzu, (yuzu), 440
Bellpepper-orange, (orenjipīmann), 290
Citrus-navel, (neeburu), 210
