Foods, (hinn), mg / 100 grams
Avocado, (abokado), 590
Milk-cow, (gyuunyuu), 3.4 ~ 7.8 ~ 9.6 
Ipomoea-batatas, (satsumaimo), 0.9
Yogurt, (yōguruto), 40
Buttermilk, (batāmiruku), 38 ~ 38.5
