Fruits, (furūtsu), mg / 100 grams
Lemon, (remonn), 6.5
Passionfruits, (passyonnfurūtsu), 2.5
Grapefruits, (gurēpufurūtsu), 1.1
Kiwifruits, (kiuifurūtsu), 1.0
Citrus-valensia, (Barensiaorenji), 0.9
Citrus-navel, (Neeburuorenji), 0.8
Strawberry, (ichigo), 0.7
Pineapple, (painappuru), 0.6
Banana, (banana), 0.3
