latitude longitude, shop, barnumbers, E i 12535 (aimai)
35.68333° N 139.86581° E, maxvalu 24hours, 8697406273835 , E i 12535 (aimai)
35.68468° N 139.86226° E, daiei funabori, 49559309, E i 12535 (aimai)
