Seed, (hinn), n ~ (degrees celsius)
Apios americana, (アピオス|アメリカホド|アメリカホドイモ), 0
Colocasia esculenta, (たけのこ芋|京芋|エビイモ), -10
Stachys affinis Bunge, (チョロギ), 0
