Seed, (hinn), n ~ (degrees celsius)
Cyphomandra abutiloides (Solanum abutiloides), (ドワーフタマリロ), -5
Ficus racemosa (Ficus glomerata), (フサナリイチジク), -5
Irvingia malayana, (タイアーモンド|マムーン|マラヤ|クラポク), -5
Cyphomandra hartwegii (Solanum circinatum), (オレンジタマリロ|ツリートマト), -5
Fragaria ananassa 'Toscana', (トスカーナストロベリー), -5
Cyphomandra batacea, (レッドタマリロ|ツリートマト), -5
Danae racemosa, (ダナエ・ラケモサ|イタリアンルスカス), -5
Actinidia kolomikta, (ミヤママタタビ), -7

With ascii.
