Seed, (hinn), n ~ (degrees celsius)
Senna obtusifolia, (えびす草), -5
Crambe maritima, (シーケール|ハマナ), -5
Salvia apiana, (ホワイトセージ|サルビア・アピアナ), -5

With ascii.
