Potatoes, mg / 100grams
Apios-americana(amerikahodoimo), 120
Celebes(serebesu), 97
Taro-yatsugashira(yatsugashira), 72
(takenokoimo), 70
(kikuimo), 66
(ichouimo), 65
(murasakiimo), 56
(satoimo), 55
Potato(jagaimo), 47
(satsumaimo), 46 ~ 47
(miziimo), 35
(jinenjyo), 31
(yākon), 31
(nagaimo), 27
