Leafs, mg / 100grams
Tea-“gyokuro”(gyokuro), 410
Tea-“maccha”(maccha), 350
Tea-micro_ouch!rie|microouchrie|microouchrie_brown|microouchriebrown(koucha), 320
Kale(kēru), 270

🌴
