Fruits, mg / 100 grams
Lemon, 6.5
Passionfruits, 2.5
Grapefruits, 1.1
Kiwifruits, 1.0
Citrus-valensia(Barensiaorange), 0.9
Citrus-navel(Neeburuorange), 0.8
Strawberry, 0.7
Pineapple, 0.6
Banana, 0.3
