Foods, mg / 100 grams
Abokado, 12.2
Milk-cow(gyuunyuu), 3.4 ~ 7.8 ~ 9.6 
(satsumaimo), 0.9
Yogurt(yōguruto), 40
Buttermilk(batāmiruku), 38 ~ 38.5
