Text (font_utf8 to line-2-head), E i ________
茶木　と　赤しそ、粘土　な　気, E i 12640 (aimai)
[cooking]ブロッコリー　チーズ　レモン, E i 12640 (aimai)
[cooking]じゃがいも+ナス葉・チーズ・レモン, E i 12640 (aimai)
