hin, pure, grams
ブラッククリムトマト, pure, 
オージートマト, pure, 450 ~ 900
brutus, ,1000
ルガンティーノ,,
liguria, ,250
ricciolo inrido, F1, 250 ~  350
costoluto di parma, ,
Rosso sisilian, ,
麗夏, ,
ポンテローザ, ,
クードゥブッフ, ,
ズッカ, , 150 ~ 300
サターン, , 240
強力米寿, ,
愛知ファーストトマト, ,
ビッグレインボートマト, ,700
グリーンジャイアントトマト, ,
