Text (data to line-2-head), E i ________
[cooking]じゃがいも（蒸）、ポテトスターチ。フライパン　オイルオリーブ　熱火、じゃがいも+ポテトスターチ　焼く。カリカリ。, E i 12582 (aimai)
[cooking]オイルオリーブ、唐辛子実、ポテト、炒。パプリカパウダー　水。草木灰　エマルジョン。, E i 12582 (aimai)
